"laus","sfips","cfips","county","year","lforce","employed","unemployed","unemprate"
"PS061210","06","107","Tulare County, CA","2001",175357,155321,20036,11.4
"CN061090","06","109","Tuolumne County, CA","2001",23961,22558,1403,5.9
"PS061220","06","111","Ventura County, CA","2001",399325,379960,19365,4.8
"CN061130","06","113","Yolo County, CA","2001",88331,83811,4520,5.1
"CN061150","06","115","Yuba County, CA","2001",24862,22745,2117,8.5
"CN080010","08","001","Adams County, CO","2001",187689,180089,7600,4
"CN080030","08","003","Alamosa County, CO","2001",7751,7423,328,4.2
"PS080100","08","005","Arapahoe County, CO","2001",282604,272188,10416,3.7
"CN080070","08","007","Archuleta County, CO","2001",5319,5108,211,4
"CN080090","08","009","Baca County, CO","2001",2447,2374,73,3
"CN080110","08","011","Bent County, CO","2001",2511,2402,109,4.3
"CN080130","08","013","Boulder County, CO","2001",162656,156627,6029,3.7
"CN080140","08","014","Broomfield County/city, CO","2001",22391,21573,818,3.7
"CN080150","08","015","Chaffee County, CO","2001",7519,7218,301,4
"CN080170","08","017","Cheyenne County, CO","2001",1283,1253,30,2.3
"CN080190","08","019","Clear Creek County, CO","2001",5946,5746,200,3.4
"CN080210","08","021","Conejos County, CO","2001",3602,3377,225,6.2
"CN080230","08","023","Costilla County, CO","2001",1313,1204,109,8.3
"CN080250","08","025","Crowley County, CO","2001",1534,1445,89,5.8
"CN080270","08","027","Custer County, CO","2001",1793,1719,74,4.1
"CN080290","08","029","Delta County, CO","2001",13343,12792,551,4.1
"PS080250","08","031","Denver County/city, CO","2001",302791,289319,13472,4.4
"CN080330","08","033","Dolores County, CO","2001",938,890,48,5.1
"CN080350","08","035","Douglas County, CO","2001",113490,109809,3681,3.2
"CN080370","08","037","Eagle County, CO","2001",26142,25332,810,3.1
"CN080390","08","039","Elbert County, CO","2001",11973,11586,387,3.2
"PS080200","08","041","El Paso County, CO","2001",269181,257797,11384,4.2
"CN080430","08","043","Fremont County, CO","2001",18276,17353,923,5.1
"CN080450","08","045","Garfield County, CO","2001",25622,24803,819,3.2
"CN080470","08","047","Gilpin County, CO","2001",3240,3127,113,3.5
"CN080490","08","049","Grand County, CO","2001",8047,7808,239,3
"CN080510","08","051","Gunnison County, CO","2001",8346,8072,274,3.3
"CN080530","08","053","Hinsdale County, CO","2001",651,628,23,3.5
"CN080550","08","055","Huerfano County, CO","2001",3203,2999,204,6.4
"CN080570","08","057","Jackson County, CO","2001",1038,1002,36,3.5
"CN080590","08","059","Jefferson County, CO","2001",304783,294223,10560,3.5
"CN080610","08","061","Kiowa County, CO","2001",937,911,26,2.8
"CN080630","08","063","Kit Carson County, CO","2001",4312,4206,106,2.5
"CN080650","08","065","Lake County, CO","2001",3998,3838,160,4
"CN080670","08","067","La Plata County, CO","2001",25077,24270,807,3.2
"PS080310","08","069","Larimer County, CO","2001",150006,145173,4833,3.2
"CN080710","08","071","Las Animas County, CO","2001",7161,6834,327,4.6
"CN080730","08","073","Lincoln County, CO","2001",2905,2818,87,3
"CN080750","08","075","Logan County, CO","2001",10741,10402,339,3.2
"PA080250","08","077","Mesa County, CO","2001",60390,58066,2324,3.8
"CN080790","08","079","Mineral County, CO","2001",428,412,16,3.7
"CN080810","08","081","Moffat County, CO","2001",7309,7024,285,3.9
"CN080830","08","083","Montezuma County, CO","2001",11881,11359,522,4.4
"CN080850","08","085","Montrose County, CO","2001",16946,16203,743,4.4
"CN080870","08","087","Morgan County, CO","2001",13332,12906,426,3.2
"CN080890","08","089","Otero County, CO","2001",9082,8660,422,4.6
"CN080910","08","091","Ouray County, CO","2001",2338,2269,69,3
"CN080930","08","093","Park County, CO","2001",8727,8423,304,3.5
"CN080950","08","095","Phillips County, CO","2001",2380,2313,67,2.8
"CN080970","08","097","Pitkin County, CO","2001",10214,9845,369,3.6
"CN080990","08","099","Prowers County, CO","2001",7223,6992,231,3.2
"PS080320","08","101","Pueblo County, CO","2001",64230,60896,3334,5.2
"CN081030","08","103","Rio Blanco County, CO","2001",3488,3394,94,2.7
"CN081050","08","105","Rio Grande County, CO","2001",6211,5877,334,5.4
"CN081070","08","107","Routt County, CO","2001",13293,12911,382,2.9
"CN081090","08","109","Saguache County, CO","2001",3044,2861,183,6
"CN081110","08","111","San Juan County, CO","2001",515,480,35,6.8
"CN081130","08","113","San Miguel County, CO","2001",4930,4742,188,3.8
"CN081150","08","115","Sedgwick County, CO","2001",1546,1502,44,2.8
"CN081170","08","117","Summit County, CO","2001",16166,15685,481,3
"CN081190","08","119","Teller County, CO","2001",12014,11540,474,3.9
"CN081210","08","121","Washington County, CO","2001",2827,2751,76,2.7
"PS080330","08","123","Weld County, CO","2001",98206,94794,3412,3.5
"CN081250","08","125","Yuma County, CO","2001",5985,5850,135,2.3
"CN090010","09","001","Fairfield County, CT","2001",448084,434696,13388,3
"CN090030","09","003","Hartford County, CT","2001",432560,418028,14532,3.4
"CN090050","09","005","Litchfield County, CT","2001",99898,96993,2905,2.9
"CN090070","09","007","Middlesex County, CT","2001",86373,84071,2302,2.7
"CN090090","09","009","New Haven County, CT","2001",417315,403140,14175,3.4
"CN090110","09","011","New London County, CT","2001",135343,131609,3734,2.8
"CN090130","09","013","Tolland County, CT","2001",76815,74979,1836,2.4
"CN090150","09","015","Windham County, CT","2001",58453,56532,1921,3.3
"CN100010","10","001","Kent County, DE","2001",64453,62092,2361,3.7
"CN100030","10","003","New Castle County, DE","2001",273330,264000,9330,3.4
"PA100100","10","005","Sussex County, DE","2001",80930,78043,2887,3.6
"PS110050","11","001","District of Columbia","2001",305817,286649,19168,6.3
"CN120010","12","001","Alachua County, FL","2001",117921,113829,4092,3.5
"CN120030","12","003","Baker County, FL","2001",10444,10019,425,4.1
"PA121150","12","005","Bay County, FL","2001",72267,68577,3690,5.1
"CN120070","12","007","Bradford County, FL","2001",10744,10272,472,4.4
"PS120030","12","009","Brevard County, FL","2001",235670,225344,10326,4.4
"PS120050","12","011","Broward County, FL","2001",882428,842626,39802,4.5
"CN120130","12","013","Calhoun County, FL","2001",5218,4957,261,5
"CN120150","12","015","Charlotte County, FL","2001",55870,53427,2443,4.4
"PA121550","12","017","Citrus County, FL","2001",44383,41873,2510,5.7
"PA121450","12","019","Clay County, FL","2001",75332,72457,2875,3.8
"PA121400","12","021","Collier County, FL","2001",123618,118565,5053,4.1
"CN120230","12","023","Columbia County, FL","2001",25747,24354,1393,5.4
"CN120270","12","027","DeSoto County, FL","2001",13349,12694,655,4.9
"CN120290","12","029","Dixie County, FL","2001",5241,4952,289,5.5
"PA120600","12","031","Duval County, FL","2001",410429,393036,17393,4.2
"PS120100","12","033","Escambia County, FL","2001",130918,124510,6408,4.9
"CN120350","12","035","Flagler County, FL","2001",22048,21034,1014,4.6
"CN120370","12","037","Franklin County, FL","2001",4574,4382,192,4.2
"CN120390","12","039","Gadsden County, FL","2001",20173,19208,965,4.8
"CN120410","12","041","Gilchrist County, FL","2001",6552,6268,284,4.3
"CN120430","12","043","Glades County, FL","2001",4302,4056,246,5.7
"CN120450","12","045","Gulf County, FL","2001",5309,5005,304,5.7
"CN120470","12","047","Hamilton County, FL","2001",4364,4036,328,7.5
"CN120490","12","049","Hardee County, FL","2001",10705,9970,735,6.9
"CN120510","12","051","Hendry County, FL","2001",16980,15708,1272,7.5
"CN120530","12","053","Hernando County, FL","2001",50267,47638,2629,5.2
"CN120550","12","055","Highlands County, FL","2001",34316,32550,1766,5.1
"CN120570","12","057","Hillsborough County, FL","2001",536841,514554,22287,4.2
"CN120590","12","059","Holmes County, FL","2001",7707,7242,465,6
"PA121600","12","061","Indian River County, FL","2001",52466,49416,3050,5.8
"CN120630","12","063","Jackson County, FL","2001",19527,18570,957,4.9
"CN120650","12","065","Jefferson County, FL","2001",6283,6006,277,4.4
"CN120670","12","067","Lafayette County, FL","2001",2647,2508,139,5.3
"PS120640","12","069","Lake County, FL","2001",96833,92527,4306,4.4
"PS120170","12","071","Lee County, FL","2001",218632,210494,8138,3.7
"CN120730","12","073","Leon County, FL","2001",133807,129075,4732,3.5
"CN120750","12","075","Levy County, FL","2001",14549,13810,739,5.1
"CN120770","12","077","Liberty County, FL","2001",2690,2562,128,4.8
"CN120790","12","079","Madison County, FL","2001",7368,7002,366,5
"CN120810","12","081","Manatee County, FL","2001",125170,120105,5065,4
"PS120570","12","083","Marion County, FL","2001",109289,103872,5417,5
"PA120470","12","085","Martin County, FL","2001",58185,55291,2894,5
"CN120860","12","086","Miami-Dade County, FL","2001",1098226,1031747,66479,6.1
"PA120550","12","087","Monroe County, FL","2001",46424,44840,1584,3.4
"CN120890","12","089","Nassau County, FL","2001",30556,29331,1225,4
"PS120370","12","091","Okaloosa County, FL","2001",82596,79289,3307,4
"CN120930","12","093","Okeechobee County, FL","2001",15573,14617,956,6.1
"PS120400","12","095","Orange County, FL","2001",506706,485450,21256,4.2
"CN120970","12","097","Osceola County, FL","2001",93160,89036,4124,4.4
"PS120420","12","099","Palm Beach County, FL","2001",564996,536701,28295,5
"PS120450","12","101","Pasco County, FL","2001",154325,147154,7171,4.6
"PS120550","12","103","Pinellas County, FL","2001",468920,448607,20313,4.3
"CN121050","12","105","Polk County, FL","2001",236149,224293,11856,5
"CN121070","12","107","Putnam County, FL","2001",28951,27386,1565,5.4
"CN121090","12","109","St. Johns County, FL","2001",68710,66186,2524,3.7
"PA121350","12","111","St. Lucie County, FL","2001",90694,85031,5663,6.2
"PA121370","12","113","Santa Rosa County, FL","2001",55415,52902,2513,4.5
"CN121150","12","115","Sarasota County, FL","2001",150087,144230,5857,3.9
"PS120500","12","117","Seminole County, FL","2001",213341,204829,8512,4
"CN121190","12","119","Sumter County, FL","2001",17376,16434,942,5.4
"CN121210","12","121","Suwannee County, FL","2001",15483,14716,767,5
"CN121230","12","123","Taylor County, FL","2001",8244,7699,545,6.6
"CN121250","12","125","Union County, FL","2001",4732,4496,236,5
"CN121270","12","127","Volusia County, FL","2001",214561,205403,9158,4.3
"CN121290","12","129","Wakulla County, FL","2001",12243,11806,437,3.6
"CN121310","12","131","Walton County, FL","2001",20643,19853,790,3.8
"CN121330","12","133","Washington County, FL","2001",8795,8304,491,5.6
"CN130010","13","001","Appling County, GA","2001",8431,7868,563,6.7
"CN130030","13","003","Atkinson County, GA","2001",3342,3142,200,6
"CN130050","13","005","Bacon County, GA","2001",4512,4270,242,5.4
"CN130070","13","007","Baker County, GA","2001",1731,1648,83,4.8
"CN130090","13","009","Baldwin County, GA","2001",18909,18074,835,4.4
"CN130110","13","011","Banks County, GA","2001",7841,7566,275,3.5
"CN130130","13","013","Barrow County, GA","2001",26049,25043,1006,3.9
"CN130150","13","015","Bartow County, GA","2001",41684,39900,1784,4.3
"CN130170","13","017","Ben Hill County, GA","2001",7873,7475,398,5.1
"CN130190","13","019","Berrien County, GA","2001",7968,7645,323,4.1
"CN130210","13","021","Bibb County, GA","2001",69573,66548,3025,4.3
"CN130230","13","023","Bleckley County, GA","2001",5092,4830,262,5.1
"CN130250","13","025","Brantley County, GA","2001",6846,6526,320,4.7
"CN130270","13","027","Brooks County, GA","2001",7599,7248,351,4.6
"CN130290","13","029","Bryan County, GA","2001",11960,11595,365,3.1
"CN130310","13","031","Bulloch County, GA","2001",27608,26424,1184,4.3
"CN130330","13","033","Burke County, GA","2001",9395,8830,565,6
"CN130350","13","035","Butts County, GA","2001",9240,8834,406,4.4
"CN130370","13","037","Calhoun County, GA","2001",2373,2219,154,6.5
"CN130390","13","039","Camden County, GA","2001",17962,17297,665,3.7
"CN130430","13","043","Candler County, GA","2001",3924,3741,183,4.7
"PA130600","13","045","Carroll County, GA","2001",46381,44235,2146,4.6
"CN130470","13","047","Catoosa County, GA","2001",30360,29477,883,2.9
"CN130490","13","049","Charlton County, GA","2001",3961,3794,167,4.2
"PS130450","13","051","Chatham County, GA","2001",112146,108177,3969,3.5
"CN130530","13","053","Chattahoochee County, GA","2001",2615,2422,193,7.4
"CN130550","13","055","Chattooga County, GA","2001",11241,10710,531,4.7
"PA130950","13","057","Cherokee County, GA","2001",86183,83760,2423,2.8
"PA130550","13","059","Clarke County, GA","2001",54879,52841,2038,3.7
"CN130610","13","061","Clay County, GA","2001",1322,1245,77,5.8
"PA131050","13","063","Clayton County, GA","2001",130016,124898,5118,3.9
"CN130650","13","065","Clinch County, GA","2001",2438,2264,174,7.1
"PA131100","13","067","Cobb County, GA","2001",365103,353173,11930,3.3
"CN130690","13","069","Coffee County, GA","2001",16727,15832,895,5.4
"CN130710","13","071","Colquitt County, GA","2001",18862,17812,1050,5.6
"CN130730","13","073","Columbia County, GA","2001",48096,46668,1428,3
"CN130750","13","075","Cook County, GA","2001",7181,6832,349,4.9
"CN130770","13","077","Coweta County, GA","2001",50098,48376,1722,3.4
"CN130790","13","079","Crawford County, GA","2001",5844,5601,243,4.2
"CN130810","13","081","Crisp County, GA","2001",9441,8946,495,5.2
"CN130830","13","083","Dade County, GA","2001",7878,7606,272,3.5
"CN130850","13","085","Dawson County, GA","2001",9269,8985,284,3.1
"CN130870","13","087","Decatur County, GA","2001",12008,11368,640,5.3
"CN130890","13","089","DeKalb County, GA","2001",380177,365011,15166,4
"CN130910","13","091","Dodge County, GA","2001",8386,7942,444,5.3
"CN130930","13","093","Dooly County, GA","2001",4819,4563,256,5.3
"CN130950","13","095","Dougherty County, GA","2001",40526,38338,2188,5.4
"PA131000","13","097","Douglas County, GA","2001",52350,50674,1676,3.2
"CN130990","13","099","Early County, GA","2001",5481,5221,260,4.7
"CN131010","13","101","Echols County, GA","2001",1909,1838,71,3.7
"CN131030","13","103","Effingham County, GA","2001",19849,19231,618,3.1
"CN131050","13","105","Elbert County, GA","2001",9834,9292,542,5.5
"CN131070","13","107","Emanuel County, GA","2001",9652,9079,573,5.9
"CN131090","13","109","Evans County, GA","2001",4711,4521,190,4
"CN131110","13","111","Fannin County, GA","2001",9243,8843,400,4.3
"CN131130","13","113","Fayette County, GA","2001",50312,48917,1395,2.8
"PA130900","13","115","Floyd County, GA","2001",45406,43401,2005,4.4
"CN131170","13","117","Forsyth County, GA","2001",61421,59697,1724,2.8
"CN131190","13","119","Franklin County, GA","2001",9930,9408,522,5.3
"CN131210","13","121","Fulton County, GA","2001",441612,423702,17910,4.1
"CN131230","13","123","Gilmer County, GA","2001",11526,11121,405,3.5
"CN131250","13","125","Glascock County, GA","2001",1175,1124,51,4.3
"PA130650","13","127","Glynn County, GA","2001",34942,33669,1273,3.6
"CN131290","13","129","Gordon County, GA","2001",23898,22667,1231,5.2
"CN131310","13","131","Grady County, GA","2001",11103,10633,470,4.2
"CN131330","13","133","Greene County, GA","2001",6262,5844,418,6.7
"PS130370","13","135","Gwinnett County, GA","2001",358390,346677,11713,3.3
"CN131370","13","137","Habersham County, GA","2001",18516,17722,794,4.3
"PA130700","13","139","Hall County, GA","2001",74810,72235,2575,3.4
"CN131410","13","141","Hancock County, GA","2001",3324,3018,306,9.2
"CN131430","13","143","Haralson County, GA","2001",12576,12026,550,4.4
"CN131450","13","145","Harris County, GA","2001",13077,12629,448,3.4
"CN131470","13","147","Hart County, GA","2001",11207,10567,640,5.7
"CN131490","13","149","Heard County, GA","2001",5135,4883,252,4.9
"CN131510","13","151","Henry County, GA","2001",71482,69366,2116,3
"PA130350","13","153","Houston County, GA","2001",55096,53270,1826,3.3
"CN131550","13","155","Irwin County, GA","2001",4440,4201,239,5.4
"CN131570","13","157","Jackson County, GA","2001",21480,20577,903,4.2
"CN131590","13","159","Jasper County, GA","2001",5830,5628,202,3.5
"CN131610","13","161","Jeff Davis County, GA","2001",5662,5246,416,7.3
"CN131630","13","163","Jefferson County, GA","2001",6664,6131,533,8
"CN131650","13","165","Jenkins County, GA","2001",3560,3342,218,6.1
"CN131670","13","167","Johnson County, GA","2001",3393,3191,202,6
"CN131690","13","169","Jones County, GA","2001",11854,11440,414,3.5
"CN131710","13","171","Lamar County, GA","2001",8167,7778,389,4.8
"CN131730","13","173","Lanier County, GA","2001",3290,3153,137,4.2
"CN131750","13","175","Laurens County, GA","2001",21448,20506,942,4.4
"CN131770","13","177","Lee County, GA","2001",13772,13309,463,3.4
"CN131790","13","179","Liberty County, GA","2001",19883,18917,966,4.9
"CN131810","13","181","Lincoln County, GA","2001",3474,3189,285,8.2
"CN131830","13","183","Long County, GA","2001",4551,4407,144,3.2
"PA130750","13","185","Lowndes County, GA","2001",43715,42073,1642,3.8
"CN131870","13","187","Lumpkin County, GA","2001",10995,10635,360,3.3
"CN131890","13","189","McDuffie County, GA","2001",10030,9452,578,5.8
"CN131910","13","191","McIntosh County, GA","2001",4900,4697,203,4.1
"CN131930","13","193","Macon County, GA","2001",5330,4978,352,6.6
"CN131950","13","195","Madison County, GA","2001",14106,13558,548,3.9
"CN131970","13","197","Marion County, GA","2001",3320,3144,176,5.3
"CN131990","13","199","Meriwether County, GA","2001",10079,9551,528,5.2
"CN132010","13","201","Miller County, GA","2001",3233,3103,130,4
"CN132050","13","205","Mitchell County, GA","2001",9839,9326,513,5.2
"CN132070","13","207","Monroe County, GA","2001",11348,10929,419,3.7
"CN132090","13","209","Montgomery County, GA","2001",3887,3634,253,6.5
"CN132110","13","211","Morgan County, GA","2001",8264,7994,270,3.3
"CN132130","13","213","Murray County, GA","2001",19773,18954,819,4.1
"PA130400","13","215","Muscogee County, GA","2001",82662,78601,4061,4.9
"CN132170","13","217","Newton County, GA","2001",34081,32865,1216,3.6
"CN132190","13","219","Oconee County, GA","2001",14612,14222,390,2.7
"CN132210","13","221","Oglethorpe County, GA","2001",6802,6539,263,3.9
"CN132230","13","223","Paulding County, GA","2001",48298,46913,1385,2.9
"CN132250","13","225","Peach County, GA","2001",10714,10230,484,4.5
"CN132270","13","227","Pickens County, GA","2001",12944,12525,419,3.2
"CN132290","13","229","Pierce County, GA","2001",7493,7171,322,4.3
"CN132310","13","231","Pike County, GA","2001",7010,6741,269,3.8
"CN132330","13","233","Polk County, GA","2001",18358,17487,871,4.7
"CN132350","13","235","Pulaski County, GA","2001",4284,4017,267,6.2
"CN132370","13","237","Putnam County, GA","2001",9019,8671,348,3.9
"CN132390","13","239","Quitman County, GA","2001",1039,962,77,7.4
"CN132410","13","241","Rabun County, GA","2001",7097,6825,272,3.8
"CN132430","13","243","Randolph County, GA","2001",2900,2669,231,8
"CN132450","13","245","Richmond County, GA","2001",86936,82768,4168,4.8
"CN132470","13","247","Rockdale County, GA","2001",37054,35800,1254,3.4
"CN132490","13","249","Schley County, GA","2001",1688,1608,80,4.7
"CN132510","13","251","Screven County, GA","2001",6421,5986,435,6.8
"CN132530","13","253","Seminole County, GA","2001",3998,3793,205,5.1
"CN132550","13","255","Spalding County, GA","2001",28146,26822,1324,4.7
"CN132570","13","257","Stephens County, GA","2001",13467,12794,673,5
"CN132590","13","259","Stewart County, GA","2001",1980,1838,142,7.2
"CN132610","13","261","Sumter County, GA","2001",14901,14072,829,5.6
"CN132630","13","263","Talbot County, GA","2001",2834,2659,175,6.2
"CN132650","13","265","Taliaferro County, GA","2001",803,732,71,8.8
"CN132670","13","267","Tattnall County, GA","2001",8508,8084,424,5
"CN132690","13","269","Taylor County, GA","2001",3319,3122,197,5.9
"CN132710","13","271","Telfair County, GA","2001",4052,3591,461,11.4
"CN132730","13","273","Terrell County, GA","2001",4573,4291,282,6.2
"CN132750","13","275","Thomas County, GA","2001",20396,19554,842,4.1
"CN132770","13","277","Tift County, GA","2001",18741,17900,841,4.5
"CN132790","13","279","Toombs County, GA","2001",11743,11001,742,6.3
"CN132810","13","281","Towns County, GA","2001",4445,4282,163,3.7
"CN132830","13","283","Treutlen County, GA","2001",2611,2439,172,6.6
"CN132850","13","285","Troup County, GA","2001",30926,29586,1340,4.3
"CN132870","13","287","Turner County, GA","2001",4893,4592,301,6.2
"CN132890","13","289","Twiggs County, GA","2001",4594,4350,244,5.3
"CN132910","13","291","Union County, GA","2001",8369,8067,302,3.6
"CN132930","13","293","Upson County, GA","2001",12315,11282,1033,8.4
"PA130800","13","295","Walker County, GA","2001",30866,29567,1299,4.2
"CN132970","13","297","Walton County, GA","2001",33585,32396,1189,3.5
"CN132990","13","299","Ware County, GA","2001",14881,14096,785,5.3
"CN133010","13","301","Warren County, GA","2001",2633,2418,215,8.2
"CN133030","13","303","Washington County, GA","2001",8305,7884,421,5.1
"CN133050","13","305","Wayne County, GA","2001",10975,10419,556,5.1
"CN133070","13","307","Webster County, GA","2001",1020,970,50,4.9
"CN133090","13","309","Wheeler County, GA","2001",2276,2111,165,7.2
"CN133110","13","311","White County, GA","2001",10945,10557,388,3.5
"PA130850","13","313","Whitfield County, GA","2001",43573,41660,1913,4.4
"CN133150","13","315","Wilcox County, GA","2001",3330,3155,175,5.3
"CN133170","13","317","Wilkes County, GA","2001",4808,4417,391,8.1
"CN133190","13","319","Wilkinson County, GA","2001",4401,4199,202,4.6
"CN133210","13","321","Worth County, GA","2001",10163,9657,506,5
"PA150100","15","001","Hawaii County, HI","2001",76284,72506,3778,5
"PS150070","15","003","Honolulu County/city, HI","2001",435280,417492,17788,4.1
"CN150070","15","007","Kauai County, HI","2001",30472,28937,1535,5
"PA150150","15","009","Maui County, HI","2001",73219,70282,2937,4
"CN160010","16","001","Ada County, ID","2001",175774,169286,6488,3.7
"CN160030","16","003","Adams County, ID","2001",1949,1737,212,10.9
"PA160150","16","005","Bannock County, ID","2001",37893,36088,1805,4.8
"CN160070","16","007","Bear Lake County, ID","2001",2970,2837,133,4.5
"CN160090","16","009","Benewah County, ID","2001",4029,3620,409,10.2
"CN160110","16","011","Bingham County, ID","2001",19973,19060,913,4.6
"CN160130","16","013","Blaine County, ID","2001",12439,12031,408,3.3
"CN160150","16","015","Boise County, ID","2001",3467,3331,136,3.9
"CN160170","16","017","Bonner County, ID","2001",18065,16678,1387,7.7
"PA160200","16","019","Bonneville County, ID","2001",42708,41223,1485,3.5
"CN160210","16","021","Boundary County, ID","2001",4037,3670,367,9.1
"CN160230","16","023","Butte County, ID","2001",1461,1399,62,4.2
"CN160250","16","025","Camas County, ID","2001",563,543,20,3.6
"PA160250","16","027","Canyon County, ID","2001",69073,65638,3435,5
"CN160290","16","029","Caribou County, ID","2001",3431,3253,178,5.2
"CN160310","16","031","Cassia County, ID","2001",10339,9857,482,4.7
"CN160330","16","033","Clark County, ID","2001",559,530,29,5.2
"CN160350","16","035","Clearwater County, ID","2001",3555,3047,508,14.3
"CN160370","16","037","Custer County, ID","2001",2692,2529,163,6.1
"CN160390","16","039","Elmore County, ID","2001",10960,10357,603,5.5
"CN160410","16","041","Franklin County, ID","2001",5449,5246,203,3.7
"CN160430","16","043","Fremont County, ID","2001",5879,5615,264,4.5
"CN160450","16","045","Gem County, ID","2001",7222,6744,478,6.6
"CN160470","16","047","Gooding County, ID","2001",7113,6843,270,3.8
"CN160490","16","049","Idaho County, ID","2001",7009,6419,590,8.4
"CN160510","16","051","Jefferson County, ID","2001",9219,8867,352,3.8
"CN160530","16","053","Jerome County, ID","2001",9322,8948,374,4
"PA160300","16","055","Kootenai County, ID","2001",59356,55316,4040,6.8
"CN160570","16","057","Latah County, ID","2001",17420,16683,737,4.2
"CN160590","16","059","Lemhi County, ID","2001",3886,3604,282,7.3
"CN160610","16","061","Lewis County, ID","2001",1708,1590,118,6.9
"CN160630","16","063","Lincoln County, ID","2001",2231,2143,88,3.9
"CN160650","16","065","Madison County, ID","2001",13176,12769,407,3.1
"CN160670","16","067","Minidoka County, ID","2001",9870,9329,541,5.5
"CN160690","16","069","Nez Perce County, ID","2001",19609,18585,1024,5.2
"CN160710","16","071","Oneida County, ID","2001",2004,1933,71,3.5
"CN160730","16","073","Owyhee County, ID","2001",4878,4682,196,4
"CN160750","16","075","Payette County, ID","2001",9918,9155,763,7.7
"CN160770","16","077","Power County, ID","2001",3530,3332,198,5.6
"CN160790","16","079","Shoshone County, ID","2001",5742,5052,690,12
"CN160810","16","081","Teton County, ID","2001",3837,3740,97,2.5
"PA160350","16","083","Twin Falls County, ID","2001",34434,33024,1410,4.1
"CN160850","16","085","Valley County, ID","2001",4034,3733,301,7.5
"CN160870","16","087","Washington County, ID","2001",5077,4753,324,6.4
"PA170800","17","001","Adams County, IL","2001",35875,34274,1601,4.5
"CN170030","17","003","Alexander County, IL","2001",3515,3225,290,8.3
"CN170050","17","005","Bond County, IL","2001",8220,7807,413,5
"CN170070","17","007","Boone County, IL","2001",22238,20819,1419,6.4
"CN170090","17","009","Brown County, IL","2001",3003,2903,100,3.3
"CN170110","17","011","Bureau County, IL","2001",18786,17810,976,5.2
"CN170130","17","013","Calhoun County, IL","2001",2507,2352,155,6.2
"CN170150","17","015","Carroll County, IL","2001",8564,7960,604,7.1
"CN170170","17","017","Cass County, IL","2001",7162,6830,332,4.6
"CN170190","17","019","Champaign County, IL","2001",99779,96044,3735,3.7
"CN170210","17","021","Christian County, IL","2001",17102,16165,937,5.5
"CN170230","17","023","Clark County, IL","2001",8817,8296,521,5.9
"CN170250","17","025","Clay County, IL","2001",7009,6534,475,6.8
"CN170270","17","027","Clinton County, IL","2001",18262,17450,812,4.4
"PA170830","17","029","Coles County, IL","2001",28024,26621,1403,5
"CN170310","17","031","Cook County, IL","2001",2714126,2550146,163980,6
"CN170330","17","033","Crawford County, IL","2001",9662,9066,596,6.2
"CN170350","17","035","Cumberland County, IL","2001",5880,5520,360,6.1
"PA170850","17","037","DeKalb County, IL","2001",51529,49169,2360,4.6
"CN170390","17","039","De Witt County, IL","2001",8776,8322,454,5.2
"CN170410","17","041","Douglas County, IL","2001",10544,10081,463,4.4
"PS170200","17","043","DuPage County, IL","2001",530591,507406,23185,4.4
"CN170450","17","045","Edgar County, IL","2001",9927,9411,516,5.2
"CN170470","17","047","Edwards County, IL","2001",3583,3402,181,5.1
"CN170490","17","049","Effingham County, IL","2001",17925,17039,886,4.9
"CN170510","17","051","Fayette County, IL","2001",10100,9424,676,6.7
"CN170530","17","053","Ford County, IL","2001",7368,7031,337,4.6
"CN170550","17","055","Franklin County, IL","2001",17151,15791,1360,7.9
"CN170570","17","057","Fulton County, IL","2001",17472,16386,1086,6.2
"CN170590","17","059","Gallatin County, IL","2001",2757,2587,170,6.2
"CN170610","17","061","Greene County, IL","2001",6965,6567,398,5.7
"CN170630","17","063","Grundy County, IL","2001",21219,19943,1276,6
"CN170650","17","065","Hamilton County, IL","2001",4027,3791,236,5.9
"CN170670","17","067","Hancock County, IL","2001",10792,10134,658,6.1
"CN170690","17","069","Hardin County, IL","2001",1925,1788,137,7.1
"CN170710","17","071","Henderson County, IL","2001",4251,4043,208,4.9
"PA170900","17","073","Henry County, IL","2001",26878,25477,1401,5.2
"CN170750","17","075","Iroquois County, IL","2001",16392,15481,911,5.6
"PA170950","17","077","Jackson County, IL","2001",30672,29323,1349,4.4
"CN170790","17","079","Jasper County, IL","2001",5355,5062,293,5.5
"CN170810","17","081","Jefferson County, IL","2001",19488,18344,1144,5.9
"CN170830","17","083","Jersey County, IL","2001",11083,10510,573,5.2
"CN170850","17","085","Jo Daviess County, IL","2001",12825,12165,660,5.1
"CN170870","17","087","Johnson County, IL","2001",4963,4668,295,5.9
"PS170320","17","089","Kane County, IL","2001",229474,217176,12298,5.4
"PA171000","17","091","Kankakee County, IL","2001",52217,49440,2777,5.3
"CN170930","17","093","Kendall County, IL","2001",33766,32332,1434,4.2
"PA171050","17","095","Knox County, IL","2001",27269,25696,1573,5.8
"CN170970","17","097","Lake County, IL","2001",338547,323596,14951,4.4
"PS170400","17","099","LaSalle County, IL","2001",56211,52857,3354,6
"CN171010","17","101","Lawrence County, IL","2001",8144,7680,464,5.7
"CN171030","17","103","Lee County, IL","2001",17628,16740,888,5
